revenue_diversity_score,view_count_sum,channel,name_cc
3,48462.0,UC-XpWwkKCLxaVNoIXpIegmQ,Kiki Chanel
5,6726434.0,UC-XsHHcuGtyzQMmuITIQCpg,Brexit Party MEPs
2,79636.0,UC-YBzr8RNbIT7ITonpqUNkw,TurboRecordings
4,7043.0,UC-YlkP3c1zKUPfyMMurARAQ,MrMario2011
4,324905.0,UC-Yr-p69aSD4vRn9mwpE4ug,Myriam's Nature
2,5199.0,UC-ZA3QN2nDmqOSujn8zvNjw,CreativeMornings HQ
4,762692.0,UC-ZQaezPlUTe94-7buWtIfA,studyquill
3,9420.0,UC-_1OuLOwK8ve25sIu-5L5w,Raging Golden Eagle
0,663.0,UC-_N3f3ZkdGh1Z2nj57ujNw,Deacon TV1
3,9450.0,UC-_et9c1jxGq1gKbFqQ-FnA,Veronica Krestow
1,1922.0,UC-_nSDa8-jCXmeEv1xXcYZw,Fit Mission Makeup J...
4,295971.0,UC-aJFR1Br26zYgtkvOZuIlA,Unknown5
3,6195.0,UC-aSLyvFLGEmNFcGomzL47w,Blue Table Painting
3,26119.0,UC-aSQD8UfeL3qAkDCvQX5og,Zed Outdoors
3,6518.0,UC-aT2XsRXmTHxnCeUiMNvTw,The Star Kenya
4,230507.0,UC-aTJzQ25OqsZGUfxkMF1Fg,rapidtronics
0,10027.0,UC-auZz-ZrtvK4PXYy5AMtxA,sebastian vittel
5,120238.0,UC-b1GcVKzV47dHB5xSP-Zpw,KIM THAI
5,12113919.0,UC-b3c7kxa5vU-bnmaROgvog,The Futur
1,3566.0,UC-b9eaX0_9Wz0ug1fmx-YfQ,Lailah Lynn
1,22576.0,UC-biucJWhM8HwjsQ96uoIUw,Cartooning 4 Kids | ...
1,437.0,UC-bvMga0aykve2JDkH0KL4A,ImageKhabar
0,1833.0,UC-cO3k5grrf7ZBeHg0yqSdQ,tabmok99
2,8257.0,UC-cPWz8Fwk5vdWS-nwW4GSQ,Cat® Products
4,661761.0,UC-cTCLsyrD8M36m35i9Nm6g,AlphaLife
